"","Profile","Family","Collection_Date","Location","Tree_Loss_.","Fire","Flood","Anthro_Activity","Av_temp_high","Av_temp_low","Precipitation","Elevation","Plant_SR"
"152","288","Myrtaceae",1987,"Mugla, Marmaris",5.4,205,1,1,24,14.3,1232.7,"7","3385"
"153","289","Myrtaceae",2006,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"154","290","Myrtaceae",2007,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"155","291","Myrtaceae",2006,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"156","292","Myrtaceae",2007,"Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,"1288"
"157","474","Asteraceae",2001,"Gurgaon, India",5,442,1,1,31.5,17.5,657,"217","3834"
"158","475","Asteraceae",2000,"Lucknow (India)",5,442,1,1,32,18.6,917.3,"123","3834"
"159","476","Asteraceae",2000,"Lucknow,India",5,442,1,1,32,18.6,917.3,"123","3834"
"160","477","Asteraceae",2001,"Gurgaon, India",5,442,1,1,31.5,17.5,657,"217","3834"
"161","478","Asteraceae",1997,"Northern,Italy",NA,NA,NA,NA,NA,NA,NA,NA,"2522"
"162","479","Asteraceae",2001,"Ogbomoso,Nigeria",10,1066,1,1,30,21,1076.3,"347","786"
"163","480","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"164","481","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"165","482","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"166","483","Asteraceae",2000,"Gurgaon, India",5,442,1,1,31.5,17.5,657,"217","3834"
"167","484","Asteraceae",2000,"Lucknow (India)",5,442,1,1,32,18.6,917.3,"123","3834"
"168","485","Asteraceae",2000,"Lucknow,India",5,442,1,1,32,18.6,917.3,"123","3834"
"169","486","Asteraceae",1997,"Northern,Italy",NA,NA,NA,NA,NA,NA,NA,NA,"2522"
